neuvottelu;negotiation
neuvottelutaidot;negotiation skills
väitellä;to debate
vakuuttaa;to convince
väitellä, väittää;to argue
kommunikoida, viestiä;to communicate
korostaa;to emphasize
painostaa;to compel
aktiivinen kuunteleminen;active listening
jutustelu;small talk
ilmaista mielipide;to express an opinion
välittää ajatus;to convey an idea
ymmärtää;to understand
molemminpuolinen ymmärrys;mutual understanding
päästä yhteisymmärrykseen;to reach an agreement
yksimielisyys;consensus
yksimielinen;unanimous
aksentti;accent
murre;dialect
ammattikieli;jargon
ottaa yhteyttä;to contact
keskustelu;conversation
ulosanti, äänen käyttö;delivery
kommunikatiivinen;communicative
puhe, keskustelu;discourse
puhe;speech
pitää puhe;to deliver a speech
olla samalla aallonpituudella;to connect
kirjeenvaihto;correspondence
kommunikointikanava;channel
tiedotusvälineet;medium, media
vuorovaikutteinen;interactive
viittomakieli;sign language
käsitellä, puhutella;to address
yhteiskieli, yleiskieli;lingua franca
pistää merkille;to note
tuoda julki, lausua;to state
viestintätaidot;communication skills
suullinen viestintä;verbal communication
verkostoitua;to network
julkisuus;publicity
salakuunnella, kuunnella puolikorvalla;to listen in
suullisesti, puskaradion kautta;word of mouth
emoji, hymiö;emoji
nopeasti netissä leviävä video;viral video
puhelias;chatty
katsekontakti;eye contact
ilmaisu, lausunto;utterance
puhekielen ilmaus, fraasi;colloquialism
suuret media-alan toimijat;big media
valtamedia;mainstream media
tuttava;acquaintance
ehdottaa;to suggest
vieras kieli;foreign language
ele;gesture
ilme, ilmaus;expression
