Yhdistyneet kansakunnat;the United Nations
kestävä kehitys;sustainable development
ihmisoikeudet;human rights
kansainväliset suhteet;international relations
Unicefin hyvän tahdon lähettiläs;UNICEF Goodwill Ambassador
Unescon maailmanperintökohde;UNESCO World Heritage Site
rauha;peace
lasten oikeudet;children's rights
konflikti, ristiriita;conflict
delegaatti;delegate
diplomatia;diplomacy
sanktio, seuraamus;sanction
Yhdistyneiden kansakuntien pääsihteeri;Secretary-General of the United Nations
Yhdistyneiden kansakuntien yleiskokous;United Nations General Assembly
toimintaperiaate, käytäntö;policy
diplomaatti;diplomat
rauhanturvaaja;peacekeeper
turvallisuus;security
elintaso;living standards
ystävälliset välit;friendly relations
kansainvälinen järjestö;international organization
suojella;to protect
humanitaarinen apu;humanitarian aid
edistää, tukea;to promote
parantua, edistyä;to improve
ratkaista asia, selvittää asia;to resolve an issue
YK:n peruskirja;the UN Charter
kansainvälinen laki;international law
turvallisuusneuvosto;the Security Council
YK;the UN
Yhdistyneiden kansakuntien pääkonttori;the United Nations Headquarters
tehdä vapaaehtoistyötä;to volunteer
arvokkuus, ihmisarvo;dignity
tasa-arvo;equality
aktiivinen kansalainen;active citizen
aktiivinen kansalaisuus;active citizenship
tehtävä, missio;mission
jäsenvaltio;member state
määrätä, säätää;to impose
tulkata, tulkita, tehdä johtopäätös;to interpret
kääntää (kielestä toiseen);to translate
kääntäjä;translator
tulkki;interpreter
tehdä yhteistyötä;to collaborate
allekirjoittaa sopimus;to sign a treaty
ulkomaanasiat;foreign affairs
monikielisyys;multilingualism
naisten oikeudet;women's rights
arvo;value
