duuri;major
molli;minor
musikaalisuus;musicality
mennä keikalle;to go to a gig
virittää;to tune
kotelo;case
kapellimestari;conductor
johtaa;to conduct
kuoro;choir
säveltää;to compose
säveltäjä;composer
sävellys;composition
sovittaa;to arrange
sovitus (musiikissa);arrangement
sanoitus;lyrics
säestää;to accompany
säestys;accompaniment
akustinen;acoustic
soittolista;playlist
orkesteri;orchestra
nuotti;note
ylennetty ääni;sharp
alennettu ääni, alavireinen;flat
sointu;chord
sävellaji;key
nuottiavain;clef
nuotit;sheet music
lukea nuotteja;to read music
säkeistö;verse
kertosäe;chorus, refrain
konserttisali;concert hall
roudari;roadie
vahvistin;amplifier
ylimääräinen kappale;encore
soittaa bändissä;to play in a band
päälaulaja;lead vocalist
taustalaulaja;backing vocalist
sävelkuuro;tone-deaf
korkea ääni;high-pitched sound
melodinen;melodic
pysyä sävelessä;to carry a tune
absoluuttinen sävelkorva;perfect pitch
tapahtumapaikka;venue
mikki, mikrofoni;mic, microphone
klassinen musiikki;classical music
kovaääninen, kaiutin;loudspeaker
pistää ääntä kovemmalle;to turn up the volume
pistää ääntä pienemmälle;to turn down the volume
kuunnella musiikkia;to listen to music
soittaa kitaraa;to play the guitar
äänen särö;distortion
rytmikäs;rhythmic
korvakuulokkeet;headphones, earbuds
mennä konserttiin;to go to a concert
mennä oopperaan;to go to the opera
soitin;instrument
mykistää ääni;to put on mute
elokuvan musiikki;soundtrack, score
julkaista levy;to release an album
rytmi;rhythm
äänittää musiikkia;to record music
muusikko, soittaja;musician
kansanlaulu;folk song
laulaa laulu;to sing a song
konserttikiertue;concert tour
katusoittaja;busker
