ajoitus;timing
ele;gesture
eläytyä;to get in character
näyttelijöiden esiinhuuto;curtain call
roolitus;casting
esiintyjäryhmä;ensemble
päärooli;leading role
sivurooli;supporting role
varanäyttelijä;understudy
esitys;performance
näytös (näytelmässä);act
kohtaus (näytelmässä);scene
teatteri;theater, theatre
teatraalinen, teatteriin liittyvä;theatrical
näytellä näytelmässä;to act in a play
esittää roolia;to play a role
improvisoida;to improvise
harjoitella;to rehearse
kenraaliharjoitus;dress rehearsal
sisääntulomerkki;cue
koe-esiintyminen;audition
koe-esiintyä;to audition
koreografia;choreography
koreografi;choreographer
tanssija;dancer
baletti;ballet
nykytanssi;modern dance
kuiskaaja (teatterissa);prompter
kumartaa;to take a bow
lausua runo;to recite a poem
esitys (runo tai musiikki);recital
katusoittaminen;busking
pantomiimi;pantomime
nukketeatteri;puppetry
jonglööraus;juggling
vatsastapuhuminen;ventriloquism
lavakomiikka;stand-up comedy
lavastus;set
näytelmäkirjailija;playwright
käsikirjoitus;script
esiintymislava;stage
salaovi;trapdoor
esiintyjälämpiö;green room
ramppikuume;stage fright
runokilpailu;poetry slam
rekvisiitta;props
tulkinta;interpretation
väliaika;interval, intermission
vuorosana;line
ohjelmavihkonen/-juliste;playbill
opetella vuorosanoja;to learn lines
suosionosoitukset;applause
taputtaa;to applaud
suosionosoitukset seisaaltaan;standing ovation
lykkyä tykö;break a leg
yleisö;audience
paikannäyttäjä;usher
käytävä;aisle
orkesterimonttu;orchestra pit
puvustus;wardrobe
rooliasu;costume
puvustaja;costume designer
maskeeraus;make-up
ennakkonäytös;preview
näytelmän ensi-ilta;opening night
iltapäiväesitys;matinée
ensiesiintyminen;debut
onnistua tulemaan kuuluisaksi;to make it
saada raikuvat suosionosoitukset;to bring the house down
yksinpuhelu;monologue
vuoropuhelu;dialogue
näyttelijä;actor
näyttelijätär;actress
ensiparvi;dress circle, balcony
matkia, esittää pantomiimina;to mime
katusoittaja, esiintyjä (kadulla);busker
