proosa ;prose
novelli;short story
romaani;novel
päähenkilö, sankari;protagonist
päähenkilön vastavoima;antagonist
pahis;villain
kertoja;narrator
rakenne;structure
kirjallisuus;literature
kirjallisuus-;literary
kielikuva;metaphor
päähenkilö;main character
sivuhenkilö;minor character
sankari;hero
sankaritar;heroine
säkeistö (runossa);stanza
lukea rivien välistä;to read between the lines
tulkita tekstiä;to interpret a text
runoilija;poet
runo;poem
runous;poetry
kirjailija;author, writer
näkökulma;point of view
antikvariaatti;second hand bookshop
arvostelu;review
ehdolla palkinnon saajaksi;shortlisted
kirjallisuuden Nobel-palkinto;The Nobel Prize for Literature
elämäkerta;biography
omaelämäkerta;autobiography
haamukirjailija;ghostwriter
julkaista, kustantaa;to publish
julkaisija;publisher
juoni;plot
kaunokirjallisuus;fiction
kootut teokset;collected works
tekstikokoelma;anthology
kuolemanjälkeinen;posthumous
loppusointu, riimi;rhyme
muistelmateos;memoirs, memoir
nimimerkki, kirjailijanimi;pseudonym, pen name
ensimmäinen painos;first edition
pokkari;paperback
runomuoto;verse
teema, aihe;theme
tietokirjallisuus;non-fiction
klisee, kulunut sanonta;cliché
tyhjän sivun pelko;writer's block
muusa, inspiraation lähde;muse
kappale, luku;chapter
jälkipuhe;epilogue
otsikko, kirjan nimi;title
sanaleikki;pun
kovakantinen;hardcover
sanonta;idiom
lainaus;quote
henkilöhahmo;character
luonnehtia;to characterize
kirjaimellinen, sananmukainen;literal
luku- ja kirjoitustaitoinen;literate
luku- ja kirjoitustaito;literacy
luku- ja kirjoitustaidoton;illiterate
sijoittua, tapahtua jossain;to take place
osa;volume
esipuhe, alkusanat;foreword, prologue
sijoittua;to be set
kirjan julkaisutapahtuma;book launch
lukutoukka;bookworm
kirjasto;library
sähköinen kirja;e-book, electronic book
lajityyppi;genre
juonitiivistelmä;synopsis
