aliravittu;malnourished
antaa avustusta;to aid
avustustyöntekijä;aid worker, relief worker
kehitysyhteistyö;development aid
hätäapu;humanitarian aid, relief aid
rahallinen apu;monetary aid
vähentää köyhyyttä;to alleviate poverty
tehdä vapaaehtoistyötä;to volunteer
kansalaisjärjestö;non-governmental organisation (NGO)
hyväntekeväisyysjärjestö;charity
kahdenvälinen sopimus;bilateral agreement
monenvälinen sopimus;multilateral agreement
kehitysmaa;developing country
kulkutauti, epidemia;epidemic
maailmanlaajuinen pandemia;global pandemic
sulkutila;lockdown
lahjoittaa;to donate
nälänhätä;famine, starvation
puhtaanapito;sanitation
puute;lack, shortage, scarcity
kehittynyt maa;developed country
maahanmuuttaja;immigrant
siirtolainen;migrant
pakolainen;refugee
turvapaikanhakija;asylum seeker
pidätyskeskus;detention center
pakolaisten vastaanottokeskus;refugee center
myöntää turvapaikka;to grant asylum
myöntää viisumi;to grant a visa
oleskelulupa;residence permit
hakea kansalaisuutta;to apply for citizenship
kestävä kehitys;sustainable development
karkotus;deportation
kotiuttaminen, palauttaminen kotimaahan;repatriation
sulautuminen;integration
rauhanturvaajajoukot;peace-keeping forces
rauhanturvaaja;peacekeeper
voittaa viholliset;to defeat the enemy
vetäytyä;to retreat
rauhanneuvottelut;peace negotiations
rauhansopimus;peace treaty
vastarintaliike;resistance movement
suorittaa asepalvelus;to do your national service
värvätä, värväytyä;to enlist
julistaa ulkonaliikkumiskielto;to declare a curfew
tunkeutua;to invade
tulitauko;ceasefire
kuolonuhrit, sodassa kuolleet;casualties
sivulliset uhrit;collateral damage
tappio;defeat
sovittelija;mediator
sotavanki;prisoner of war (POW)
sissisota;guerrilla war
sotilastukikohta;military base
solmia aselepo;to sign a truce
kaupunkisota;urban warfare
käydä sotaa;to wage war
olla sodassa;to be at war
itsenäisyyssota;war of independence
ydinsota;nuclear war
sisällissota;civil war
biologinen sodankäynti;biological warfare
rannikkovartiosto;coast guard
raja;border
omien tulitus;friendly fire
laukaista ohjus;to launch a missile
neuvotella;to negotiate
sovitella;to mediate
miehittää alue;to occupy an area
ammattiarmeija;professional army
asevelvollisuusarmeija;conscript army
aseistakieltäytyjä;conscientious objector
liittolainen;ally
panna joukot liikkeelle;to mobilize troops
lääkintämies;medic
sotatoimialue;war zone
armeijakirurgi;military trauma surgeon
siviilipalvelus (Suomi);civilian service, alternative service
ilmaisku;airstrike
aseistariisunta;disarmament
antautua;to surrender
paeta sotaa;to flee from war
kapinallinen;insurgent, rebel
toisinajattelija;dissident
kuolonuhrien määrä;death toll
hyökkäys;raid
terrorismin vastainen operaatio;counterterrorism operation
miina;landmine
sijoittaa pommi;to plant a bomb
syöstä hallitus vallasta;to overthrow the government
verilöyly;massacre
sabotointi;sabotage
vallankaappaus;coup
joukkotuhoase;weapon of mass destruction
konflikti, ristiriita;conflict
terroristihyökkäys;terrorist attack
ihmiskauppa;human trafficking
