rikos;crime, offence
tehdä rikos;to commit a crime
oikeus;justice
asianajaja, lakimies;lawyer, attorney
nostaa syyte rikoksesta;to charge with a crime
vapauttaa syytteestä;to acquit
oikeuden päätös;verdict
tuomita;to sentence
oikeudenkäynti;trial
vankeusrangaistus;imprisonment
päästää vapaaksi ;to release
rikostutkija;investigator
tutkia;to investigate
epäilty;suspect
pidättää;to arrest
tunnustaa;to confess
vankila;prison, jail
todistusaineisto;evidence
päättää (oikeudessa);to rule
tuomari;judge
syytetty, vastaaja;defendant
tuomioistuin;court of law
sovittelu;settlement
sovitella;to settle
takuu;bond, bail
päästä vapaaksi takuuta vastaan;to make bail
nuorisorikollinen;juvenile delinquent
syyttäjä;prosecutor
syyttää;to prosecute
puolustuksen asianajaja;defence attorney
puolustaa;to defend
rikoksentekijä, rikollinen;criminal, perpetrator
syyllinen;culprit
rikosrekisteri;criminal record
haastaja, kantaja;plaintiff
haastehakemus, kanne;complaint
haastaa oikeuteen;to sue
väärä vala;perjury
oikeuskäsittelyn estäminen;obstruction of justice
ottaa (poliisin) huostaan;to take into custody
pahoinpitely;assault, battery
myöntää syyllisyys;to plead guilty
vedota syyttömyyteen;to plead innocent
valamiehistö;jury
rike, lievä rikos;misdemeanor
syytesopimus;plea bargain
yhdyskuntapalvelu;community service
todistaa (oikeudessa);to testify
tuomita jostain;to convict
lain täytäntöönpano, poliisityö;law enforcement
kuulustelu;interrogation
kuolemanrangaistus;capital punishment
rangaistus;penalty
sakkorangaistus;fine
vangitseminen;incarceration
vanki;prisoner, inmate
rikostekninen tutkimus;forensics
vangin eristäminen;solitary confinement
todistaja;witness
ehdonalainen;probation, parole
kuolemansyyntutkija;pathologist
valittaa tuomiosta;to appeal
rikostoveri;accomplice
odottaa kuolemantuomiota;to be on death row
karkuri;fugitive
rikospaikka;crime scene
ottaa sormenjäljet;to take fingerprints
rajoittaa;to restrict
laillistaa;to legalize
vihjata, osoittaa syylliseksi;to implicate
kleptomaani, pakkomielteinen varastelija;kleptomaniac
tuhopolttaja;pyromaniac
pedofiili;pedophile
maanpetturi;traitor
huumejengin pomo;drug lord
psykopaatti;psychopath
mafian jäsen;mafioso
jengiläinen;gang member
kyberterroristi;cyber terrorist
ehdollinen vankeusrangaistus;probation
