politiikka;politics
hallitus;government
demokratia;democracy
kansanedustaja;Member of Parliament (MP)
eduskunta, parlamentti;Parliament
ehdokas;candidate
olla ehdolla johonkin asemaan;to run for a position
eurokansanedustaja;Member of the European Parliament (MEP)
Euroopan unioni;the European Union (EU)
puolue;party
kansanäänestys;referendum
konservatiivinen;conservative
oikeistolainen;right-wing
vasemmistolainen;left-wing
liberaali;liberal
kuningaskunta;monarchy
perustuslaki;constitution
lainsäädäntö;legislation
ministeriö;ministry
monipuoluehallitus;coalition government
puolustusministeri;Minister of Defence
sisäministeri;Minister of the Interior
sisäpolitiikka;domestic policy
tasavalta;republic
ulkoministeri;Foreign Minister
ulkopolitiikka;foreign policy
äänestyspaikka ;polling station, polls
vaalipiiri;constituency
eduskuntavaalit;general elections
valita vaaleilla;to elect
valtion päämies;head of state
valtiovarainministeri;Minister of Finance
varapresidentti;Vice President
virkakausi;term of office
ääni, äänestyslippu;ballot
äänestää;to vote for
äänestysprosentti, osallistujamäärä;turnout
veronmaksaja;taxpayer
presidenttiehdokas;presidential candidate
kaksipuoluejärjestelmä;two-party system
säätää laki;to enact, to pass a law
suhteellinen vaalitapa;proportional representation
väestönlaskenta;census
kansalainen;citizen
kansalaisuus;citizenship
hallita;to reign, to rule
säädellä;to regulate
valtionapu, tukiainen;subsidy
veroprosentti;tax rate
ulkomaanvelka;foreign debt
tulot;income
jäädä eläkkeelle;to retire
työttömyyskorvaus;unemployment benefit
minimipalkka;minimum wage
äitiysloma;maternity leave
isyysloma;paternity leave
syntyvyys;birth rate
perhesuunnittelu;family planning
hyvinvointivaltio;welfare state
elintaso;standard of living
luokkayhteiskunta;class society
syrjäytynyt;alienated
vähäosainen;disadvantaged
rikkaat;the rich
köyhät;the poor
köyhtynyt;impoverished
odotettu elinikä;life expectancy
asunnottomuus;homelessness
lobbaus, edunvalvonta;lobbying
ammattiyhdistys;trade union
kääntyä tai käännyttää uskoon;to convert
usko;faith, creed
maallinen;secular, non-religious
uskovainen, uskonnollinen;religious
seurakunta;congregation
kirkossakävijä;church-goer
poliitikko;politician
pääministeri;Prime Minister
sosiaalipalvelut;social services
yhteiskunta;society
eläke;pension
äitiyspäiväraha, vanhempainraha;maternity benefit
terveydenhuoltopalvelut;health care services
