tietotekniikka;information technology
tieto- ja viestintäteknologia;ICT
laskea;to calculate
tekniikkaintoilija;technophile
konekammoinen;technophobe
tietokonetaitoinen;computer-literate
älyteknologia;smart technology
data, tieto;data
uudistus, innovaatio;innovation
uudenaikainen;up-to-date
ohjelmoida;to program
koodata;to code
ohjelmisto;software
vanhanaikainen;archaic
vanhentunut;obsolete
tekoäly;artificial intelligence
teknologia;technology
tekniikka, menetelmä;technique
tekninen;technical
tietokoneisiin perehtynyt;computer-savvy
verkko, verkosto;network
haittaohjelma;malware
ilmaisohjelmisto;freeware
palvelin;server
reititin;router
näyttö;screen
kovalevy;hard drive
pilvitallennuspalvelu;cloud drive
yhteys;connection
pääsy;access
tietokonetaidoton;computer-illiterate
kehittynyt;advanced
vakoiluohjelma;spyware
pimeä verkko;dark web
sovellus;application
verkkoselain;web browser
selaimen välilehti;tab
selainikkuna;browser window
uudenaikainen;modern
mainosohjelmisto;adware
välimuisti;cache
eväste;cookie
käynnistää;to boot
langaton;wireless
tiedonlouhinta;data mining
liite;attachment
pakata tiedosto;to compress a file
kaikkialla oleva;ubiquitous
ladata, siirtää;to upload
ladata, imuroida;to download
parviäly;swarm intelligence
laitteisto;hardware
laite;device
käyttäjäidentiteetin varmistaminen;authentication
biometrinen tunnistautuminen;biometric identification
näppäimistö;keyboard
salaus;encryption
pikanäppäin;keyboard shortcut
kytkeä;to plug in
ladata;to charge
kannettava tietokone;laptop
pöytätietokone;PC
pistoke;plug
johto;wire
yhteysportti;port
päivittää;to upgrade
päivitysversio;upgrade
muistitikku;flash drive
sovitin;adapter
keskitin, hubi;hub
kytkin;switch
ajuri;driver
jatkojohto;extension cord
hiirimatto;mouse pad
rannetuki;wrist rest
kaapeli;cable
kannettava laite;portable device
asentaa;to install
