tiedotusväline;medium
tiedotusvälineet;media
joukkotiedotusvälineet;mass media
antenni;aerial, antenna
mainonta;advertising
mainos, ilmoitus;ad
mainos (audio, video);commercial
blogi;blog
videoblogi;vlog
postaus, merkintä;posting
lähettää ohjelmaa;to broadcast
palsta;column
pääkirjoitus;editorial
journalismi;journalism
lehdistö;press
toimittaja;journalist
reportteri;reporter
aikakauslehti;magazine
sanomalehti;newspaper
julkaisu;publication
julkaista;to publish
kustantaja;publisher
lehtiartikkeli;article
juorulehti, sensaatiolehti;tabloid
otsikko;headline
valeuutinen;fake news
manipuloida, muunnella;to manipulate
valokuvaaja;photographer
tuotemerkin puolestapuhuja;brand advocate
kuvaseloste;caption
klikinkalastelu;clickbait
kansi;cover
upotettu;embedded
syöte;feed
seuraaja;follower
kohdeyleisö;target audience
tietojenkalastelu;phishing
kuvakaappaus;screenshot
hakukoneoptimointi;search engine optimization
sensurointi;censorship
tilata;to subscribe
tilaaja;subscriber
suoratoisto;streaming
näyttökerta;impression
jako;share
lyhytaikainen;ephemeral
suodatin, filtteri;filter
loukata, herjata;to libel
verkkohäirikkö, trolli;troll
aihetunniste, avainsana;hashtag
trollata, provosoida;to troll
huijata;to scam
tiedote;bulletin
asettelu;layout
alusta;platform
lehdistötilaisuus;press conference
ennakkoluulo;bias
roolihahmo;avatar 
suora viesti;direct message
käyttäjäsisältö;user-generated content
nopeasti leviävä;viral 
maalittaa;to target
valvoja;moderator
ylläpitäjä;administrator
koneenkäyttäjä,toimija;operator
tallenne;podcast
äänittää, tallentaa;to record
vaikuttaa;to influence
vaikuttaja;influencer
merkitä;to tag
chattailla, jutella;to chat
levittää;to spread
lähetys;transmission
tukea, mainostaa;to endorse
kommenttiketju;thread
valvoa, tarkkailla;to monitor
muotisana;buzzword
ruutuaika;screen time
uutiskatsaus;news bulletin
