asuntolaina;mortgage
onnenonkija;gold digger
hinta;price
laskea, vähentyä;to decrease
nousta, lisääntyä;to increase
hyödyke;commodity
kartelli;cartel
kauppa;trade, commerce
kilpailukyky;competitiveness
konkurssi;bankruptcy
korkotaso;interest rate
korko;interest
kotimaan markkinat;domestic market
kuluttaja;consumer
kulutus;consumption
käytetty;second-hand
kysyntä ja tarjonta;supply and demand
lama;recession, depression
leikkaus, säästötoimi;cutback
liikekumppani;business partner
luotto;credit
rahoittaa;to fund
mainosiskulause;advertising slogan
mainostoimisto;advertising agency
markkinoida;to market
myyntikampanja;marketing campaign
myyntitulot, liikevaihto;revenue
taloudellinen notkahdus;economic slump, economic downturn
nousukausi;boom
reilu kauppa;fair trade
omistaa osakkeita;to hold shares
osake;share
ostaa;to purchase
pörssi;stockmarket, stock exchange
saada omistusoikeus;to acquire ownership
säännöstellä;to regulate
sijoittaa;to invest
uudelleensijoittaa;reinvest
taloudellisesti kannattava, edullinen;economical
talous-, taloudellinen;economic
tappiolla;at a loss
tuotto;proceeds
työvoimakustannukset;labor costs
ulkoistaminen;outsourcing
vaihdella;to fluctuate
valuutta;currency
velka;debt
olla velkaa;to be in debt, owe (someone) money
voitolla;at a profit
yhtiö, yritys;company, enterprise
yrittäjä;entrepreneur
liikemies, liikenainen;businessman, businesswoman
kilpailuhenkinen, kilpakykyinen;competitive
oravanpyörä;the rat race
pienimuotoinen laina;microloan
tuoda maahan;to import
viedä maasta;to export
kuitti;receipt
säästöt;savings
alennus;discount
hinta, kuljetusmaksu;fare
ryöstö, liian korkea hinta;rip-off
halpa ostos, löytö;bargain
osinko;dividend
arvonlisävero;value added tax
tulovero;income tax
perintövero;inheritance tax
vuosittaiset tulot;annual income
nostaa rahaa;to withdraw
osamaksuerä;installment
tinkiä;to haggle
veloissa, taloudellisessa ahdingossa;in the red
raha-automaatti;ATM
työttömyyskorvaus;unemployment benefit
maksu, palkkio, korvaus;fee
kohota rajusti;to soar
laskea rajusti;to plummet
moninkertaistua;to multiply
tuplata;to double
tullimaksu;tariff
valtionapu, tukiainen;subsidy
pihi;miserly, parsimonious, stingy
hallituksen kokous;board meeting
liikevaihto, henkilökunnan vaihtuvuus;turnover
alijäämä, vaje;deficit
törsätä;to splurge
vauras;wealthy, affluent, well-off
menestyvä, vauras;prosperous
tilivuosi;fiscal year
