päiväkoti (Br);nursery school
päiväkoti (Am);day care
alakoulu (Br);primary school
alakoulu (Am);elementary school
yläkoulu (Br);secondary school, middle school
yläkoulu (Am);junior high school, middle school
lukio (Br);sixth form, upper secondary school
lukio (Am);senior high school
kansalaisopisto (Am);community college
ammattikoulu;vocational school, trade school
yliopisto;university
jatko-opiskelu;further education
päättötodistus;school-leaving certificate
koulun päättökoe;school-leaving exam
ylioppilaskokeet (Br);A-levels
arviointi;evaluation, assessment
pakollinen;compulsory, obligatory, mandatory
luokaton lukio;non-graded upper secondary school
opetussuunnitelma;curriculum
verkkokurssi;online course, e-learning course
kouluarvosana (Br);mark
kouluarvosana (Am);grade
pääsykoe;entrance exam
ammattikorkeakoulu;university of applied sciences
lintsata (Br);to play truant
lintsata (Am);to play hooky
abiturientti (Am);senior student
abiturientti (Br);A-level student
erottaa koulusta;to expel
erottaa koulusta määräajaksi;to suspend
etäopiskelu;distance learning, remote learning
jättää koulu kesken;to drop out
osallistua kokeeseen;to take a test
reputtaa;to fail, to flunk
läpäistä koe;to pass a test
uusia koe;to re-take a test
kuri, oppiaine;discipline
kurssitarjotin, opinto-ohjelma;syllabus
lukujärjestys;schedule, timetable
luokka-aste;grade, form, year
päivänavaus;morning assembly
rehtori (Am);principal
rehtori (Br);head teacher, headmaster
sisäoppilaitos;boarding school
todistus;report card
päättötodistus;certificate, diploma
yliopistollinen tutkinto;degree
kandidaatin tutkinto;Bachelor's Degree
maisterin tutkinto;Master's Degree
tohtorin tutkinto;Doctor of Philosophy (PhD)
valinnainen;optional, elective
valmistua;to graduate, to finish school
välitunti (Am);recess
välitunti (Br);break
ylioppilas;high school graduate
tehdä läksyjä;to do homework
keskiarvo;grade point average (GPA)
valmistunut opiskelija;alumnus
oppilaitoksesta valmistuneet opiskelijat;alumni
esikoulu;preschool, kindergarten
viitata;to raise your hand
peruskoulun päättökokeet (Br);GCSEs, O-levels
valtakunnallinen tasokoe;standardized test
korkeakouluopinnot;higher education
pistokoe;pop quiz
verkko-opiskelu;e-learning
väitöskirja;dissertation
gradu, opinnäytetyö;thesis
tutkielma;research paper
sähköinen koe;digital exam, online exam
kirjoitelma, aine;composition, essay, paper
suullinen koe;oral exam
koe, jossa saa vapaasti käyttää lähteitä;take-home exam, open book exam
lunttilappu;cheat sheet
harjoittelukoe;mock exam
antaa tukiopetusta, antaa yksityistunteja;to tutor
alakoulu;lower level comprehensive school
yläkoulu;upper level comprehensive school
lukio;upper secondary school
ylioppilastutkinto;the Matriculation Examination Certificate
opiskelijavaihto;student exchange
pitkä matematiikka;advanced maths
opintojen sivuaine;minor
opintojen pääaine;major
sähköistyminen;digitalization
kokeen valvoja;exam invigilator
ulkoluku;rote learning
oppitunti;lesson, class
Ylioppilaskokeet (Am);SATs
kriittinen ajattelu;critical thinking
oppia ulkoa;to learn by heart
opinto-ohjaaja;student counsellor
monitieteellinen;multidisciplinary
poikkitieteellinen;interdisciplinary
jälki-istunto;detention
kirjautua opiskelijaksi;to enroll, to matriculate
apuraha, stipendi;scholarship
lukukausimaksu;tuition fee
muodollinen koulutus;formal education
oppiaine;subject
