yrittäjä;entrepreneur
yrittäjyys;entrepreneurship
yritteliäs;enterprising
yrittäjähenkinen;entrepreneurial
yritys;enterprise
myyntipuhe;sales pitch
vastata haasteeseen;to take on a challenge
olla aloitekykyä;to have initiative
tulevaisuuden mahdollisuudet;future prospects
aloitteleva yritys;start-up
pääomasijoitus;capital investment
perustaa yritys;to found a company
pyörittää firmaa;to run a company
perustaja;founder
perustaja, perustajajäsen;co-founder
toimitusjohtaja;CEO
kassavirta;cash flow
lyhyt myyntipuhe;elevator pitch
markkinointi;marketing
markkinarako;niche
verkostuminen;networking
kannattava, tuottoisa;profitable
tuotto, liikevaihto;revenue
liikevaihto;turnover
voittomarginaali;profit margin
riskipääoma;venture capital
innovaatio, uudistus, uutuus;innovation
epävarmuus;uncertainty
menestys;success
strateginen;strategic
julkinen sektori;public sector
yksityissektori;private sector
sijoittaja;investor
hanke;undertaking
projekti;project
järjestö;organization
palkitseva;rewarding
resurssit;resources
sinnikkyys;resilience
uranuurtaja, edelläkävijä;trailblazer
sitkeys;persistence
näkemys, visio;vision
liiketoimintamalli;business model
jakaa tehtäviä, delegoida;to delegate
johtaa;to lead
päättäväisyys;determination
intohimo;passion
asiakaskunta;clientele
asiakas;client
omistusosuus yrityksestä;share
lanseerata tuote;to launch a product
yrityksen tärkein tuote;flagship product
edistää;to promote
sopimus;deal
omistajayhtiö, emoyhtiö;holding company
liikekumppani, yhtiökumppani;business partner
osakas yrityksessä;shareholder, stakeholder
liikkeen harjoittaja;businessperson
liiketoimintasuunnitelma;business plan
konkurssi;bankruptcy
mennä konkurssiin;to go bankrupt
mainosiskulause;advertising slogan
saada omistusoikeus;to acquire ownership
markkinoida, myydä;to market
myyntikampanja;marketing campaign
ulkoistaa, käyttää alihankkijoita;to outsource
