palkata;to employ, to hire
työnantaja;employer
työntekijä;employee
työllistetty;employed
työtön;unemployed, jobless, out-of-work
työllisyys;employment
työttömyys;unemployment
työvoimatoimisto;job centre, employment office
yksityisyrittäjä;self-employed
työttömyyskorvaus;unemployment benefit, dole
esimies;supervisor, manager
hakea töitä;to apply for a job
harjoittelija;intern, trainee
työharjoittelupaikka;internship, job placement, practical training
irtisanomiskorvaus;severance payment
joustava työaika;flexible hours
kokopäivätyö;full-time job
luontaisetu;perk, fringe benefit
osa-aikatyö;part-time job
pätevä;qualified
todistus pätevyydestä;qualification
sairausloma;sick leave
tehdä vuorotyötä;to work shifts
kulkea työmatkaa;to commute
uranäkymät;career prospects
vapaapäivä;day off
virkavapaa;leave of absence
saada virka;to get tenure
ylennys;promotion
ylityö;overtime
irtisanoa;to sack, to dismiss, to lay off, to fire
irtisanoutua;to resign, to quit, to hand in your notice
akateeminen ammatti;profession
ansaita elanto;to earn a living
eläke;pension
avoin työpaikka;open position, job opening, job vacancy
tehdä etätöitä;to telework, to telecommute, to work remotely
tehdä tilapäistyötä;to temp
käytännön työ;blue-collar job
toimistotyö, akateeminen työ;white-collar job
työtarjous;job offer
verkostoitua;to network
sitoutuminen;commitment
ura;career
edetä uralla;to climb the ladder
pistää parasta;to put your best foot forward
ammattivaara;occupational hazard
kehua jotakuta vuolaasti;to sing someone's praises
ruumiillinen työ;manual labor
pätevä, osaava;competent
taitava;proficient
irtisanoutuminen;resignation
ansioluettelo;Curriculum Vitae (CV), résumé, resume
harjoittelija;apprentice, trainee, intern
harjoittelupaikka;apprenticeship, traineeship, internship
apulainen;assistant
aikaisempi työkokemus;previous work experience
työnimike;job title
työnkuvaus;job description
saavutus;achievement, accomplishment
asiakaspalvelu;customer service
vapaaehtoistyö;volunteer work
vastuu;responsibility
suosittelija;referee
tulevaisuuden tavoitteet;future goals
jäädä eläkkeelle;to retire
palkankorotus;pay raise, pay rise
vähentää henkilökuntaa;to downsize
suositus;recommendation, reference
palkka;salary, wages, pay
saatekirje;application letter, cover letter
työhakemus;job application
irtisanominen;dismissal
minimipalkka;minimum wage
ammattiyhdistys;trade union
työsopimus;employment contract
tehdä yhteistyötä;to collaborate, to cooperate
yhteistyö;collaboration, cooperation, team work
velvollisuus;duty
kiinteä työaika;fixed hours
työpaikkailmoitus;job advertisement
työterveys- ja turvallisuus;occupational health and safety
pehmeät taidot;soft skills
johtajuustaidot;leadership skills
viestintätaidot;communication skills
pitää työhaastattelu;to conduct a job interview
vaatimus, edellytys;requirement
haastattelija;interviewer
haastateltava;interviewee
kokemusta jostain;experience in something
sujuva kielessä;fluent in a language
hyvä jossakin;good at something
työhaastattelu;job interview
