luomuviljely;organic farming
maatalous;agriculture
rikkaruohomyrkyt;herbicides
tuhohyönteisten torjunta-aineet;pesticides, insecticides
tuholainen;pest
rikkaruoho;weed
reilu kauppa;fair trade
viljelykelpoinen;arable
myrkylliset kemikaalit;toxic chemicals
maaperä;soil
sato;crop, harvest, yield
viljely;cultivation
maalais-, maaseutu-;rural
teollinen;industrial
teollistuminen;industrialization
luomuruoka;organic food
eines, valmisruoka;processed food
maataloustuotteet;produce
tuoda maahan maataloustuotteita;to import produce
viedä maasta maataloustuotteita;to export produce
lannoittaa;to fertilize
lannoite;fertilizer
lanta;manure
kotitarveviljely;subsistence farming
lähiruoka;local food
laiduntaa;to graze
lisäaine;additive
väriaine;dye
meijeri, maitotuote;dairy
rehevöityminen;eutrophication
rehu;fodder
säilöntäaine;preservative
tehotuotanto;factory farming
kyntää;to plow
kylvää siemeniä;to sow seeds
vuoroviljely;crop rotation
geenimanipuloitu;genetically modified
ylikansoittuminen;overpopulation
keinokastelu;irrigation
maaperän huonontuminen;land degradation
karja;cattle, livestock
eläinten oikeudet;animal rights
kasvissyönti;vegetarianism
veganismi;veganism
nälänhätä;famine
pilaantua;to go off
viimeinen käyttöpäivä;expiry date
säilykeruoka;canned food
tuore ruoka;fresh food
ruoan kotiinkuljetus;food delivery
kauppias;vendor
elintarvikekauppa;grocery store
tukkukauppa;wholesale distributor
ostoskärry;shopping cart, trolley
teurastamo;abattoir, slaughterhouse
eläimiin kohdistuva julmuus;animal cruelty
ruoan saatavuuden turvaaminen;food security
elintarvikkeet;groceries
keinosiemennys;artificial insemination
eläinten hyvinvointi;animal welfare
liivate;gelatin
lihaa muistuttavat kasvistuotteet;mock meat
kasvipohjainen;plant-based
veganisoida, tehdä jostakin vegaanista;to veganize
ulkokanalan munat;free-range eggs
 vapaan kanan munat, lattiamunat;cage-free eggs
siipikarja, linnunliha;poultry
hormonivapaa naudanliha;hormone-free beef
ruokahävikki;food surplus
porsaanliha;pork
ylilaiduntaminen;overgrazing
viljellä maata;to cultivate land
