luonnonkatastrofi;natural disaster
maanjäristys;earthquake
hyökyaalto;tsunami
hirmumyrsky;tropical storm
ilmastonmuutos;climate change
kuivuus;drought
kuolla sukupuuttoon;to become extinct
maanvyöry;landslide
pyörremyrsky;tornado
rankkasade;torrential rain
sukupuuttoon kuoleminen;extinction
tulivuorenpurkaus;volcanic eruption
tulva;flood
sataa rakeita;to hail
vuotuinen sademäärä;annual precipitation
ilmastonmuutoksen lieventäminen;climate change mitigation
valtamerten pinnan nouseminen;rising ocean levels
metsien tuhoaminen, metsien häviäminen;deforestation
hurrikaani;hurricane
metsäpalo;forest fire
magma, laava;magma
trombi;twister
sykloni, pyörremyrsky;cyclone
maastopalo;bushfire
laava;lava
eroosio, kuluminen;erosion
Richterin asteikko;Richter scale
kiskoa juurineen;to uproot
suojata;to shelter
kuolemaan johtanut, kohtalokas;fatal
hävittää;to devastate
hätätilanne;emergency
rae;hailstone
pyroklastinen tuhkapilvi;pyroclastic flow
kuiva, karu;arid
ilmatiede;meteorology
lämmin rintama;warm front
sääennuste;weather forecast
vuorovesi;tide
lauhtua, sulaa;to thaw
keskilämpötila;mean temperature
loska;slush
räntä;sleet
sadekuuro;shower
tuulahdus;breeze
sateenkaari;rainbow
pilvinen;overcast
nihkeä;muggy
usva;mist
ukkonen;thunder
salamointi, salama;lightning
jäätikkö;glacier
tuulenpuuska;gale
sumu;fog
huurre;frost
haihtuminen;evaporation
päiväntasaus;equinox
kaste;dew
lämpömittari;thermometer
iltahämärä;dusk
aamunkoitto;dawn
kylmä rintama;cold front
ilmasto;climate
revontulet;Aurora Borealis (Northern Lights)
ilmankosteus;humidity
sademäärä;precipitation
sääilmiöt;weather phenomena
äärisääolosuhteet;extreme weather conditions
lumivyöry;avalanche
sataa lunta;to snow
sataa tihuuttaa;to drizzle
raekuuro;hail
jääpuikko;icicle
pilvetön taivas;clear skies
maanjäristyksen keskus;epicenter
purkautua;to erupt
sulaa, sulattaa;to melt
tuulenpuuska;gust
lumimyrsky;blizzard
hiekkamyrsky;sandstorm
lämpötila;temperature
ukkosmyrsky;thunderstorm
metsäpalo;wildfire
helleaalto;heat wave
ilmanpaine;air pressure
taifuuni, pyörremyrsky;typhoon
säämalli;weather pattern
pilvipeite;cloud cover
näkyvyys;visibility
korkeapaine;high pressure
seisminen;seismic
luonnonilmiö;natural phenomenon
mutavyöry;mudslide
asumiskelvoton;uninhabitable
pyörremyrsky;whirlwind
pyörre;whirlpool
ilmakehä;atmosphere
sääolosuhteet;weather conditions
kestää sääolosuhteita;to brave the weather
trooppiset alueet;tropics
