aktiivinen kuuntelu;active listening
dialogi, vuoropuhelu;dialogue
jutustelu;small talk
kompensaatiokeinot;compensation strategies
kasvokkain viestiminen;face-to-face communication
elehtiä;to gesture
sujuva;fluent
epäröivä;hesitant
pysähtyä, pitää tauko;to pause
korvata, kompensoida;to compensate
muodollinen;formal
epämuodollinen;informal
slangi;slang
antaa sysäys;to prompt
reagoida;to react
kohtelias;polite
vaivaton;effortless
idiomaattinen;idiomatic
spontaani;spontaneous
vastata;to respond
epäkohtelias;impolite
ilmaista;to express
matkia, esittää pantomiimina;to mime
vastakohta;antonym
synonyymi;synonym
akateeminen englanti;academic English
poliittisesti korrekti;politically correct (PC)
kiertoilmaus;circumlocution, euphemism
epäröinti;hesitation
sujuvuus;fluency
vuorovaikutus;interaction
olla kanssakäymisissä;to interact
ele;gesture
viestintätaidot;communication skills
saada viesti perille;to get a message across
vetää keskusteluun, ryhtyä keskusteluun;to engage in conversation
empiä, epäröidä;to hesitate
