ajaton;timeless
balladi;ballad
ilmaista itseään;to express oneself
Lontoon teatterialue;the West End
muotokuva;portrait
katutaiteilija;street performer, busker
musikaali;musical
esiintyä kadulla;to busk
ilmaista;to convey
lausua runoja;to recite
esitys (runo tai musiikki);recital
sonetti;sonnet
kuvata, esittää;to portray
harjoitella;to rehearse
improvisoida;to improvise
pääharjoitus;dress rehearsal
kohtaus;scene
kokoonpano;ensemble
väliaika;intermission, interval
paikannäyttäjä;usher
tulkinta;interpretation
lajityyppi;genre
lippumyymälä;box office
loppukohtaus;finale
näytös;act
kokoonpano, näyttelijät;cast
ohjelmisto;repertoire
tulkinta;rendition
näytelmä;play
runoilija, kiertelevä runolaulaja;bard
kannattaja, tukija, asiakas;patron
näyttelijä;thespian
näytelmäkirjailija;playwright
käydä museossa;to visit a museum
taiteentuntija;art connoisseur
mukaelma, sovitus;adaptation
näyttämö, esiintymislava;stage
yleisö;audience
esirippu;curtain
näyttelijä;actor
näyttelijätär;actress
ylimääräinen ohjelmanumero;encore
koe-esiintyminen;audition
mennä elokuviin;to go to the cinema
rooli;role
käsikirjoitus;script
rooliasu;costume
rekvisiitta, tarpeisto;props
lavasteet;set, decor
avajaiset;opening
ensi-ilta;premiere
arvostelu;review
veistos;sculpture
patsas;statue
taidenäyttely;art exhibition
seinämaalaus;mural
asettaa taidetta näytteille;to exhibit art
kuraattori, taidekokoelman hoitaja;curator
maalaus;painting
moderni taide;modern art
nykytaide;contemporary art
abstrakti taide;abstract art
taideteos;artwork
taidegalleria;art gallery
ohjelmavihkonen;playbill
opastettu kierros;guided tour
artefakti, esine;artifact
fresko;fresco
esteettinen;aesthetic
akvarelli, vesivärimaalaus;watercolor
teatteri;theatre
kangas (maalauksissa);canvas
graffiti, seinäkirjoitus;graffiti
taide-esine;objet d'art
taiteilija;artist
taidemaalari;painter
kuvanveistäjä;sculptor
taiteellinen;artistic
piirros;drawing
sivellin;paintbrush
taidekokoelma;art collection
valokuvaus;photography
performanssitaide;performance art
pysyvä näyttely;permanent collection
mestariteos;masterpiece
impressionismi;impressionism
alastonkuva;nude
antiikkiesine, antiikkinen;antique
kuvata, kuvailla;to depict
luovuus;creativity
esiintyä;to perform
omakuva;self-portrait
maalausteline;easel
keramiikka;pottery
museosiipi;museum wing
asetelma;still life
ajatuksia herättävä;evocative
innokas harrastaja;aficionado
näytellä osaa;to play a part
kultturelli, sivistynyt;cultured
