maineikas yliopisto;prestigious university/college
oppimisvaikeus;learning disability
opiskella äidinkieltään;to study your mother tongue
oppia vieras kieli;to learn a foreign language
stipendi, apuraha;scholarship, grant, stipend
alakoulu;primary school, lower level comprehensive school
yläkoulu;secondary school, high school, upper level comprehensive school
lukio;upper secondary school, senior high school, sixth form
ammattikoulu;vocational school, polytechnic school
jatko-opiskelu;further education
koulun päättökoe;school-leaving exam
ylioppilaskirjoitukset;A-levels, matriculation exams
arviointi;evaluation, assessment
pakollinen;compulsory, obligatory, mandatory
luokaton lukio;non-graded upper secondary school
opetussuunnitelma;curriculum
verkkokurssi;online course
peruskoulu;comprehensive school
kouluarvosana;mark, grade
pääsykoe;entrance exam
ammattikorkeakoulu;university of applied sciences
koulun ulkopuoliset harrastukset;extracurricular activities
lintsata;to play truant, to play hooky
abiturientti;A-level student, senior
erottaa koulusta;to expel from school
erottaa koulusta määräajaksi;to suspend from school
etäopetus;distance learning
jättää koulu kesken;to drop out
osallistua kokeeseen;to take a test
reputtaa;to fail, to flunk
läpäistä koe;to pass a test
uusia koe;to retake a test
kuri, kurinpito, tieteenala;discipline
kurssitarjotin;syllabus
lukujärjestys;schedule, timetable
luokka-aste;grade, form, year
päivänavaus;morning assembly
rehtori;head teacher, headmaster, principal
sisäoppilaitos;boarding school
todistus;report card
päättötodistus;certificate, diploma
yliopistollinen tutkinto;degree
humanististen tieteiden kandidaatti;Bachelor of Arts (BA)
humanististen tieteiden maisteri;Master of Arts (MA)
humanististen tieteiden tohtori;Doctor of Philosophy (PhD)
valinnainen;optional, elective
valmistua;to graduate, to matriculate
välitunti;recess, break
ylioppilas;upper secondary school graduate
tehdä läksyjä;to do homework
keskiarvo;grade point average (GPA)
valmistunut opiskelija;alumnus, alumna, former student, graduate
taito;skill
esikoulu;preschool
monikielinen;multilingual
kaksikielinen;bilingual
pyrkiä johonkin;to strive for something
opettavainen;educational
monipuoliset opetusmetodit;diverse teaching methods
palauttaa aine;to turn in an essay
maksaa lukukausimaksuja;to pay tuition fees
opetella ulkoa;to learn by heart
vähäosaiset opiskelijat;disadvantaged students
tarjota mahdollisuuksia;to provide opportunities
korkeakoulutus;tertiary education
oppiaine;subject
opiskella jotain pääaineena;to major in something
sivuaine;minor
osallistaa opiskelijoita;to engage students
luonnontieteet;science
humanistiset tieteet;humanities
lääketiede;medicine
matematiikka;mathematics
kemia;chemistry
fysiikka;physics
liikunta;physical education
yhteiskuntatieteet;social sciences
olla hyvä jossain;to be good at something, to excel at something
lähdekritiikki;source criticism
kriittinen ajattelu;critical thinking
tehdä tutkimusta;to conduct research
tieteilijä, tutkija;scientist
tutkimus;study
opiskella ulkomailla;to study abroad
vaihto-oppilasvuosi;exchange year
kielikurssi;language course
jälki-istunto;detention
etäopiskelu;distance learning, remote learning
digitalisaatio;digitalisation
poikkitieteellinen;interdisciplinary
monitieteellinen;multidisciplinary
hypoteesi, olettamus;hypothesis
antaa yksityistunteja/tukiopetusta;to tutor, to give private lessons
sijaisopettaja;substitute teacher
viitata;to raise your hand
älykäs;intelligent, smart, bright, clever
kokeen valvoja;exam invigilator
kilpailuhenkinen;competitive
luku- ja kirjoitustaidoton;illiterate
luku- ja kirjoitustaitoinen;literate
