keriä lampaat;to shear the sheep
viljelykelpoinen;arable
hedelmällinen, tuottoisa;fertile
heinäsirkka;locust
maatalous;agriculture
luomuviljely;organic farming
rikkaruohomyrkyt;herbicides
tuholaismyrkyt;pesticides, insecticides
tuholainen;pest
reilu kauppa;fair trade
paimentaa;to herd
sato;crop, harvest, yield
viljely;cultivation, farming
maalais-, maaseutu-;rural
luonnossa hajoava paketointi;biodegradable packaging
kaatopaikka;landfill site
maaperä, multa;soil
biojäte;biowaste
eines, valmisruoka;processed food
maataloustuotteet;produce
tuoda maahan;to import
viedä maasta;to export
lannoittaa;to fertilize
rasvaton maito;skimmed milk, low fat milk
soija;soy
kookosmaito;coconut milk
vegaani (ei syö mitään eläinperäistä);vegan
kasvissyöjä;vegetarian
mantelijuoma;almond milk
ruokahävikki, ruoan ylijäämä;food surplus
lannoite;fertilizer
lanta;manure
karja;livestock, cattle
kotitarveviljely;subsistence farming
lähiruoka;local food
laiduntaa;to graze
lisäaine;additive
meijeri, maitotuote;dairy
rehevöityminen;eutrophication
rehu;fodder
säilöntäaine;preservative
tehotuotanto;factory farming
kylvää siemeniä;to sow seeds
vuoroviljely;crop rotation
geenimanipuloitu;genetically modified
viinitila;vineyard
syöttää eläimet;to feed the animals
lammaslauma;flock of sheep
hoitaa puutarhaa;to garden
vapaasti kasvaneiden kanojen munia;free-range eggs
vehnä;wheat
kaura;oat
ohra;barley
maissi;maize
rypsi;rapeseed
ruis;rye
siipikarja;poultry
utare;udder
päästää kasvihuonekaasuja;to emit greenhouse gases
metaani;methane
viljellä;to farm, to cultivate the land
maatalousvälineet;farm equipment
viljasato;cereal crops
sika;swine
poimia hedelmiä;to pick fruit
kitkeä rikkaruohoja;to weed
ananas;pineapple
paprika;bell pepper
chili-pippuri;hot pepper, chili
purjo;leek
lehtisalaatti;lettuce
jauheliha;minced meat
kurkku;cucumber
säilykeruoka;canned food
sitruuna;lemon
punajuuri;beetroot
suolakurkku;pickle
valkosipuli;garlic
tilli;dill
korianteri;coriander
ruohosipuli;chives
kotiin vietävä ruoka-annos;take away, take out
juoda;to imbibe
niellä, nauttia;to ingest
juoma;beverage
ruokalaji;dish
ruoka-allergia;food allergy
laktoosi-intoleranssi;lactose intolerance
ruokaostokset;groceries
ruokakauppa;grocery store
nauris, lanttu;turnip
viinirypäle;grape
vihannes;vegetable
idut;sprouts
sinisimpukka;mussel
kala- ja äyriäisruoka;seafood
katkarapu;shrimp
hummeri;lobster
suodatinkahvi;drip coffee, American coffee
raaka/puolikypsä/kypsä pihvi;rare/medium/well done steak
