ensihoitaja;paramedic
virus;virus
ambulanssi;ambulance
elvytys;cardiopulmonary resuscitation (CPR)
paarit;gurney
kiristysside;tourniquet
syvä viiltohaava;laceration
murtuma;fracture
laastari;band-aid
lääkeresepti;prescription
apteekki;drugstore, pharmacy
parannuskeino;remedy, cure
apteekkari;pharmacist
ripuli;diarrhoea
glaukooma, silmänpainetauti;glaucoma
poskiontelontulehdus;sinusitis
antibiootit;antibiotics
hyvänlaatuinen kasvain;benign tumor
pahanlaatuinen kasvain;malignant tumor
ensiapupoliklinikka;emergency room (ER)
leikkaussali;operating room (OR)
pahoinvointi;nausea
määrätä lääkkeitä;to prescribe medicine
teho-osasto;intensive care unit (ICU)
aivotärähdys;concussion
lääkäri;physician
kaihi;cataract
onnettomuuden uhri;casualty, victim
potilas;patient
tukehtuminen;asphyxiation
elvyttää;to resuscitate
intuboida;to intubate
laittaa hengityskoneeseen;to put on a ventilator
leikata joku;to operate on someone
maailmanlaajuinen kulkutauti;pandemic
rokottaa;to vaccinate
terveydenhuoltojärjestelmä;healthcare system
sairaanhoitaja;nurse
nyrjähtänyt nilkka;sprained ankle
murtunut luu;broken bone
hoito;treatment
kirurgi;surgeon
lääkärin antama hoito;medical attention
terveydenhuolto;healthcare
terveys;health
eutanasia, armokuolema;euthanasia
vaiva;ailment
kätilö;midwife
ennalta ehkäisevä lääketiede;preventive medicine
sairaus;disease, illness
ruiskutus;injection
vamma, invaliditeetti;disability
hyvinvointi;welfare
apteekki;pharmacy, chemist
vakuutus;insurance
reseptilääke;prescription drug
diagnoosi, taudinmääritys;diagnosis
ennuste;prognosis
lastenlääkäri;pediatrician
kardiologi, sydänlääkäri;cardiologist
psykoterapisti;psychotherapist
psykologi;psychologist
vastustuskyky;immunity
fysioterapeutti;physiotherapist
(lääkärin)lähete;referral
vamma;injury
lääkitys;medication
ihotautilääkäri;dermatologist
neurologi, hermolääkäri;neurologist
synnytyslääkäri;obstetrician
psykiatri;psychiatrist
lääkeannos;dose
lääkitä;to medicate
ilman reseptiä myytävät lääkkeet;nonprescription drugs
hammaslääkäri;dentist
hoitovirhe;malpractice
lääkealan yritykset;pharmaceutical companies
rokotus;vaccination
laumaimmuniteetti;herd immunity
saattokoti;hospice
ehkäisyväline;contraceptive
kuntoutus;rehabilitation
terveystarkastus;physical
defibrillaattori;defibrillator
ruisku;syringe
ensiapulaukku;first aid kit
kainalosauva;crutch
kipsi;plaster, cast
tehohoito;intensive care
luovuttaa verta;to donate blood
klinikka;clinic
ottaa sairaalahoitoon;to hospitalize
kirurginen maski;surgical mask
sideharso;gauze
oire;symptom
hoidettavissa oleva;treatable
diagnosoida;to diagnose
mennä leikkaukseen;to go under the knife
aivoleikkaus;brain surgery
syöpä;cancer
