ristiretket;the Crusades
käydä sotaa;to wage war
joukot, sotilaat;troops
tykistö;artillery
siviili;civilian
lähitaistelu;close combat
perääntyä;to retreat
vahvistaa;to fortify
maahanhyökkäys, -tunkeutuminen;invasion
piirittää;to besiege
vangita;to capture
väijytys;ambush
sodassa kaatunut;casualty
laivasto;navy
jalkaväki;infantry
ratsuväki;cavalry
laivue;fleet
kilpi;shield
maamiina;land mine
keihäs;spear
miekka;sword
soturi;warrior
hautapaikka;burial site
taistelukenttä;battlefield
piiritys;siege
tyrmä;dungeon
vallankaappaus;coup
salajuonittelu, kiehtovuus;intrigue
vallananastaja;usurper
surmata;to slay
kahle;manacle
sisällissota;civil war
keski-aikainen;medieval
yhteenotto;confrontation
verilöyly;massacre
kruunajaiset;coronation
liitto;union, alliance
tykki;cannon
vihanpito, taistelu, sukuriita;feud
sissisota;guerilla war
tehdä yllätyshyökkäys;to raid
maanpetos;treason
vakoilu;espionage
ritari;knight
muistomerkki;monument
hautausmaa;cemetery
saada itsenäisyys;to gain independence
feodaalijärjestelmä;feudal system
aatelisto;nobility
aatelittomat, tavalliset ihmiset;commoners
monarkia, kuningaskunta;monarchy
valtikka;sceptre
hallita, vallita;to reign
perustaa siirtomaita, vallata;to colonise
käännyttää uskoon;to convert
keskiaika;the Middle Ages
renessanssi;the Renaissance
kuninkaalliset;royalty
kruunu;crown
kivikausi;the Stone Age
pronssikausi;the Bronze Age
rautakausi;the Iron Age
teollinen vallankumous;the Industrial Revolution
ensimmäinen maailmansota;the First World War
toinen maailmansota;the Second World War
holokausti;the Holocaust
sodankäynti;warfare
allekirjoittaa rauhansopimus;to sign a peace treaty
kylmä sota;the Cold War
itsenäinen, itsehallinnollinen;autonomous
vuosituhat;millennium
kruununperillinen;heir to the throne
arkeologi;archeologist
vuosisata;century
papisto;clergy
diktaattori;dictator
diplomatia;diplomacy
hallitsijasuku;dynasty
valistus;the Enlightenment
aikakausi;era
kaivaa, suorittaa kaivauksia;to excavate
muuttoliike;migration
kansallismielisyys, nationalismi;nationalism
paimentolainen, nomadi;nomad
pyhiinvaeltaja;pilgrim
esihistoriallinen;prehistoric
juonitella;to plot
vallankumous;revolution
sosialismi;socialism
totalitarismi;totalitarianism
heimo;tribe
historioitsija;historian
kronikoida historiaa, kertoa historiaa;to chronicle history
historiallinen aikakausi;historical period
vuosikymmen;decade
antropologi, ihmistieteen tutkija;anthropologist
sukujuuret, esivanhemmat;lineage
muinainen;ancient
sivilisaatio, kulttuuri;civilization
kommunismi;communism
