runoilija;poet
runous;poetry
lukutoukka;bookworm
kirjan päähenkilö;protagonist
romaani;novel
novelli;short story
päähenkilön vastavoima;antagonist
vertauskuva;allegory
juttu, tarina;anecdote
omaelämäkerta;autobiography
sonetti;sonnet
elämäkerta;biography
henkilöhahmo;character
henkilökuvaus;characterization
vuoropuhelu;dialogue
monologi, yksinpuhelu;monologue
loppusoinniton;free verse
ironia;irony
metafora, kielikuva;metaphor
kertoja;narrator
kerronta;narrative
parodia;parody
proosa, suorasanainen tyyli;prose
sanaleikki;pun
teema, aihe;theme
sävy, tunnelma;tone
pehmeäkantinen kirja;pocket book
kovakantinen kirja;hardcover
runokokoelma;poetry collection
taidelehti;art magazine
humoristinen naiskirjallisuus;chick lit
sisällysluettelo;table of contents
suurikokoinen taidekirja;coffee table book
kasvutarina;coming of age story
salapoliisiromaani;detective story
jännitysromaani;thriller
päiväkirja;diary, journal
muistelma;memoir
lainaus, siteeraus;quotation
tuottelias kirjailija;prolific writer
aikakausi;era
lajityyppi;genre
nautiskella;to savour
lainata, siteerate;to quote
pahis, roisto, konna;villain
kustantaja;publisher
julkaista kirja;to publish a book
maailmankirjallisuus;world literature
klassinen kirjallisuus;the classics
kirjaimellisesti;literally
kustantamo;publishing house
kirjakerho;book club
kirjallisuusanalyysi;literary analysis
juoni;plot
innokas lukija;avid reader
alkusointu;alliteration
lukea rivien välistä;to read between the lines
mennä kirjastoon;to go to the library
analogia, kahden asian vastaavuus;analogy
sähkökirja, e-kirja;electronic book, e-book
arkikielinen, puhekielinen;colloquial
loppuratkaisu;denouement
jälkipuhe;epilogue
esipuhe;prologue
eeppinen runous;epic poetry
kiertoilmaisu;euphemism
eläinsatu, taru;fable
kuvainnollinen kieli;figurative language
epäsuora, implisiittinen;implicit
suora, eksplisiittinen;explicit
satiiri;satire
minä-kertoja;first person narrator
hän-kertoja;third person narrator
tulevaisuuden uhkakuva;dystopia
ihanteellinen yhteiskunta;utopia
kirjallisuuskritiikki;literary criticism
tunteisiin vetoava kieli;emotive language
loppusointu, riimi;rhyme
kaunokirjallisuus;fiction
tietokirjallisuus;nonfiction
runomuoto;verse
tavu;syllable
tieteiskirjallisuus;science fiction
essee, kirjoitelma;essay
tyhjän sivun pelko;writer's block
kuvakieli;imagery
symboliikka, vertauskuvallisuus;symbolism
näkökulma;point of view
kuvitus;illustration
kirjallisuus;literature
sarjakuvaromaani;graphic novel
murhenäytelmä;tragedy
komedia, huvinäytelmä;comedy
fantasiaromaani;fantasy novel
mestariteos;masterpiece
menestyskirja;bestseller
kirjailija, kirjoittaja;writer, author
kaanon, kirjallisuuden maailman yleisesti hyväksymä luettelo klassikoita;canon
runsassanainen;verbose
muusa, inspiraation lähde;muse
