neuvottelutaidot;negotiation skills
väittely;debate
mielipide;opinion
väitellä;to argue
perustelu;argument, justification
tehdä kompromissi;to compromise
näkökulma;point of view
tosiasioihin perustuva;factual
sovitella;to mediate
sovittelija;mediator
lahjoa;to bribe
lahjominen;bribery
vakuuttaa;to convince
vakuuttunut;convinced
epävakuuttunut;unconvinced
voittaa joku puolelleen;to win someone over
ajoitus;timing
nöyryys;humility
nöyrä;humble
imartelu;flattery
imarrella;to flatter
imarteleva;flattering
kiristys;extortion
kiristää;to extort
herkkyys;sensitivity
herkkä jonkun tunteita kohtaan;sensitive towards someone's feelings
ehdottaa;to propose
itsepäinen;pigheaded, stubborn
avoin, avomielinen;openminded
päästä yhteisymmärrykseen;to reach an agreement, to reach a consensus
yksimielisyys;consensus
ratkaisu;resolution, solution
perustella, puolustaa;to justify
tinkiä;to haggle
arvio, käsitys;assessment
johtopäätös;conclusion
asenne;attitude
oletus;assumption
