maahanmuuttolinja;immigration policy
maahanmuuttaja;immigrant
seksuaali- ja sukupuolivähemmistöjen oikeudet;LGBTQ rights
sulatusuuni;melting pot
perustuslaki;constitution
väestönlaskenta;census
syrjintä;discrimination
syrjiä jotakuta;to discriminate against someone
rotuerottelu;segregation
pakolaiskiintiö;refugee quota
demokratia;democracy
kaksipuolueärjestelmä;two-party system
salaliittoteoria;conspiracy theory
itsenäisyys;independence
etninen vähemmistö;ethnic minority
ennakkoluuloinen;prejudiced
kansalaisuus;citizenship
kansalainen;citizen
kansalaisoikeudet;civil rights
maastakarkotus;deportation
alkuperäiskansa;indigenous people
oleskelulupa;residence permit
myöntää viisumi;to grant a visa
uskonnollinen vähemmistö;religious minority
poliittinen turvapaikka;political asylum
rasismi;racism
rinnakkaiselo;coexistence
sosiaalihuolto;social welfare
sulautuminen;integration
suvaitsevainen;tolerant
suvaitsematon;intolerant
suvaitsevaisuus;tolerance
suvaitsemattomuus;intolerance
tasapuolinen mahdollisuus;equal opportunity
turvapaikanhakija;asylum seeker
hakea turvapaikkaa;to seek asylum
myöntää turvapaikka;to grant asylum
työlupa;work permit, green card
lakkauttaa orjuus;to abolish slavery
syrjäytyminen;alienation
rotuvähemmistö;racial minority
enemmistö;majority
voimaannuttaa;to empower
valeuutiset;fake news
yhteisö;community
yhteiskunta;society
äänioikeus;suffrage
lakiesitys;bill
säädetty laki;act
osavaltio, valtio;state
eduskunta;parliament
kansanedustaja;Member of Parliament (MP)
senaatti;senate
kongressi;congress
ehdokas;candidate
olla ehdolla valtion virkaan;to run for, to stand for
hajottaa;to dissolve a government
hallinto;administration
liittovaltion hallitus;federal government
monipuoluehallitus;coalition government
konservatiivinen, vanhoillinen;conservative
liberaali, vapaamielinen;liberal
oikeuslaitos;judicial system
puolue;party
puolustusministeri;Secretary of Defense
ulkoministeri;Secretary of State
varapresidentti;Vice President
sisäpolitiikka;domestic policy
tasavalta;republic
ulkopolitiikka;foreign policy
äänestyspaikka;polling place or station
äänestää;to cast a ballot/vote, to vote
vaalipiiri;constituency
yleiset vaalit;general elections
valtionpäämies;head of state
valtiovarainministeri;Secretary of the Treasury
virkakausi;term of office
armeijan ylipäällikkö;Commander in Chief
äänestyslippu;ballot
vapauttaminen;emancipation
isänmaallinen;patriotic
isänmaanystävä;patriot
kansallislaulu;national anthem
vainota;to persecute
sosiaaliturva;social security
kansalaistottelemattomuus;civil disobedience
hyväksyä laki;to pass a law
uudisasukas;settler
asettautua aloilleen;to settle in
virkaanastujaiset;inauguration
seksuaalivähemmistö;sexual minority
kiihkoilija, fanaatikko;bigot
kiihkoilu, fanaattisuus;bigotry
vieraantunut yhteiskunnasta;alienated from society
monirotuinen;multiracial
sukupuolten välinen tasa-arvo;gender equality
sukupuolineutraalius;gender neutrality
sekulaari, ei-uskonnollinen;secular
poliitikko;politician
politiikka;politics
