esitelmä;presentation, talk
myyntipuhe;sales pitch
oppitunti;lesson
opetustuokio;tutorial
puhujakoroke;podium
vihjekortit;cue cards
havaintoväline;visual aid
muistutus;prompt
ryhti;posture
innostus;enthusiasm
asian ydin;key point
avustava pointti;subsidiary point
ranskalaiset viivat;bullet points
välihuomautus;interjection
jatkokysymys;follow-up question
korostaa;to highlight
ehdottaa maljaa;to propose a toast
onnitella;to congratulate
esittää;to present
pitää puhe;to make a speech, to deliver a speech
asento;stance, pose
muodostaa katsekontakti;to make eye contact
puhutella yleisöä;to address an audience
suullinen;oral
julkisen puhumisen pelko;glossophobia, public speaking anxiety
tunteisiin vetoavaa kieltä;emotive language
tahallinen liioittelu;hyperbole
toisto;repetition
harjoitella;to rehearse, to practice
ilme;facial expression
julkinen puhuja;orator, public speaker
liikehtiä hermostuneesti;to fidget
astella edestakaisin;to pace
hermostunut, jännittynyt;nervous
olla perhosia vatsassa;to have butterflies in your stomach
infografiikka;infographic
luento, saarna;lecture
osallistaa yleisöä;to involve the audience, to engage the audience
esittää kysymys;to pose a question
tauko;pause
julkisesti;in public, publicly
yleisö;audience
julkinen puhuminen;public speaking
itsevarma, luottavainen;confident
mikki, mikrofoni;mic, microphone
esityskammoinen;glossophobe
ramppikuume;stage fright
diaesitys;slide show
improvisoitu;impromptu, improvised
miellekartta;mind map
täristä;to shake
käyttää ääntä;to use your voice
hätääntyä, panikoida;to panic
rytmi;rhythm
tahti, vauhti;pace
