ulkoistaa;to outsource
yritys;enterprise
yrittäjä;entrepreneur
liikehenkilö;business person
tehdas;factory
työvoimakustannukset;labor costs
lapsityövoima;child labor
työolosuhteet;working conditions
ammatillinen terveysuhka;occupational hazard
täsmällinen, ajoissa;punctual
ala, teollisuus;industry
liikevaihto;turnover
ammatti;occupation
kunnianhimoinen;ambitious
palkata;to employ, to hire
työnantaja;employer
työntekijä;employee
työllistetty;employed
työtön;unemployed, jobless, out-of-work
työllisyys, työpaikka;employment
työttömyys;unemployment
ruumiillinen työ;manual labor
esimies;supervisor, manager
hakea töitä;to apply for a job
harjoittelija;intern, trainee, apprentice
työharjoittelupaikka;internship, practical training, apprenticeship
irtisanomiskorvaus;severance pay
joustava työaika;flexible hours
kokopäivätyö;full-time job
työsuhde-etu;perk, fringe benefit
osa-aikatyö;part-time job
saada palkankorotus;to get a raise, to get a pay rise
pätevä;qualified
pätevyys;qualification
sairausloma;sick leave
tehdä vuorotyötä;to work in shifts
videokonferenssi;teleconference
vapaapäivä;day off
ylennys;promotion
ylityö;overtime
antaa potkut;to sack, to dismiss, to lay off, to fire
irtisanoutua;to resign, quit, hand in your notice
akateeminen ammatti;profession
ansaita rahaa;to earn money
eläke;pension
avoin työpaikka;vacancy, job opening, open position
tehdä etätöitä;to telework, to telecommute
etätyö;remote work
tehdä tilapäistyötä;to temp
työtarjous;job offer
verkostoutua;to network
vastata haasteeseen;to take on a challenge
olla aloitekykyä;to have initiative
sitoutuminen;commitment
vastuu, velvollisuus;responsibility
ura;career
edetä uralla;to climb the ladder
pistää parasta;to put your best foot forward
ansioluettelo;CV, resume
suositus;reference
tehtävän kuvaus;job description
aikaisempi työkokemus;previous work experience
tinkiä;to haggle
tehdä vapaaehtoistyötä;to volunteer
työnimike;job title
suosittelija;referee
monialayritys;conglomerate
uranuurtaja;pioneer
pohatta;magnate, tycoon
perustaa yritys;to found a company
pääoma;capital
laajentaa, laajentua;to branch out, to expand
osakkeenomistaja;shareholder
työntekijöitä riistävä yritys, hikipaja;sweatshop
lama;depression, economic slump
toimintaansa aloitteleva yritys;start-up company
perustaja;founder
yksinoikeus, monopoli;monopoly
palkka;salary, wages, income
minimituntipalkka;minimum wage
konkurssi;bankruptcy
mennä konkurssiin;to go bankrupt
myyntipuhe;sales pitch
toimitusjohtaja;CEO (Chief Executive Officer)
innovaatio, keksintö;innovation
markkinarako;market niche
kannattava, tuottoisa;profitable
tuotto, voitto;revenue
pyörittää yritystä;to run a company
omistusosuus;stake
sijoittaa yritykseen;to invest in a company
Inhimillinen pääoma;human capital
riskipääoma;venture capital
voittomarginaali;profit margin
työnhakija;applicant
työhakemus;job application
ahkera, tuottelias;industrious
yrittäjähenkinen;entrepreneurial
ansaita elanto;to make a living, to bring home the bacon
tunnollinen, ahkera;diligent
